"Gen","WT","Res","comp1","comp2","comp3","comp4","comp5","comp6","comp7","comp8","comp9","comp10","comp11","comp12","comp13","comp14","comp15","comp16","comp17","comp18","comp19","comp20","comp21","comp22","comp23","comp24","comp25","comp26","comp27","comp28","comp29","comp30","comp31","comp32","comp33","comp34","comp35","comp36","comp37","comp38","comp39","comp40","comp41","comp42","comp43","comp44","comp45","comp46","comp47","comp48","comp49","comp50","comp51","comp52","comp53","comp54","comp55","comp56","comp57","comp58","comp59","comp60","comp61","comp62","comp63","comp64","comp65","comp66","comp67","comp68","comp69","comp70","comp71","comp72","comp73","comp74","comp75","comp76","comp77","comp78","comp79","comp80","comp81","comp82","comp83","comp84","comp85","comp86","comp87","comp88","comp89","comp90","comp91","comp92","comp93","comp94","comp95","comp96","comp97","comp98","comp99","comp100","CR","sum"
1,0,10000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0,9992,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8
3,1,9987,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12
4,1,9981,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,18
5,2,9954,1,0,0,0,0,3,0,0,0,0,1,0,1,0,2,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,10,0,0,0,2,1,0,1,0,1,0,0,2,0,0,0,0,0,0,0,1,2,0,1,0,0,0,0,0,0,0,0,3,0,0,1,0,0,0,0,0,1,2,0,0,3,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,44
6,4,9954,1,0,0,0,0,5,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,9,0,0,0,4,0,1,1,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,1,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,1,0,0,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,42
7,2,9940,1,0,0,0,0,6,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,1,0,3,0,10,0,1,1,3,0,3,0,0,3,0,0,0,0,0,0,0,0,0,1,0,2,0,1,0,0,1,0,1,0,0,0,4,0,0,0,0,0,1,0,0,0,0,0,0,7,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,58
8,2,9933,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,0,0,0,1,0,0,0,0,0,0,0,3,0,2,0,17,0,2,1,2,0,1,0,0,3,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,2,0,0,0,3,0,0,0,0,1,1,0,0,0,0,0,0,10,0,1,0,1,0,0,0,0,0,0,0,0,0,0,2,0,65
9,2,9923,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,5,1,0,0,0,2,0,0,0,0,0,0,1,4,0,4,0,13,0,2,0,1,0,1,0,0,0,0,1,7,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,3,0,0,0,0,0,0,0,0,1,7,0,0,0,0,0,0,11,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,0,75
10,0,9903,0,0,0,0,0,3,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,5,1,0,0,0,0,0,0,0,0,0,1,1,3,0,3,0,20,0,3,1,2,0,1,0,0,0,0,1,5,0,0,0,1,0,0,0,1,0,0,0,0,0,4,0,6,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,14,1,0,0,5,0,0,0,0,0,1,0,0,0,0,2,0,97
11,0,9896,0,0,0,0,0,4,1,0,2,0,1,1,0,0,0,0,2,1,0,1,0,0,4,1,0,0,0,1,0,0,0,1,0,1,1,5,0,3,0,17,0,1,2,4,0,1,0,1,1,0,1,3,0,0,0,1,0,0,0,1,0,0,1,0,0,3,0,3,0,0,0,0,0,0,0,0,0,9,0,0,0,1,0,0,17,0,0,0,3,0,0,0,0,0,2,0,0,0,0,2,0,104
12,0,9896,1,0,0,0,0,3,1,0,1,1,1,0,0,0,0,0,3,3,0,1,0,0,4,1,0,1,0,1,0,0,0,1,0,0,0,3,0,4,0,13,0,3,4,2,0,1,0,0,1,0,1,3,0,0,0,2,0,0,0,1,0,0,1,0,0,5,0,7,0,0,1,0,0,0,0,0,0,11,0,0,0,0,0,0,12,0,0,0,3,0,0,0,0,0,2,0,0,0,0,1,0,104
13,0,9865,2,0,0,0,0,3,1,0,0,4,2,1,0,0,0,0,4,5,0,0,0,1,2,0,0,0,1,0,0,0,0,0,0,0,0,3,0,3,0,16,0,9,7,4,0,0,0,1,2,0,3,2,0,0,0,2,0,0,0,2,0,1,0,0,0,7,0,8,0,1,1,0,0,0,0,1,0,12,0,0,0,0,0,0,13,0,1,0,5,0,0,0,0,0,2,0,0,0,1,2,0,135
14,0,9826,2,0,0,0,0,4,1,0,1,5,2,2,0,0,0,0,4,8,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,7,0,3,0,22,0,14,7,2,0,0,0,3,1,1,4,4,0,0,0,5,0,0,0,2,0,0,0,0,1,8,0,16,0,0,1,0,0,0,0,3,0,15,0,0,0,0,0,0,10,1,1,0,3,0,0,1,0,0,2,2,0,0,2,2,0,174
15,0,9807,5,0,0,0,0,2,0,0,2,2,2,0,0,0,0,0,7,9,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,6,0,2,0,29,0,15,4,3,0,0,0,2,1,0,4,8,0,0,0,5,0,0,0,3,0,0,0,0,1,8,0,17,0,0,3,0,0,0,0,0,0,21,0,0,0,0,0,0,6,0,0,0,3,0,0,1,0,1,5,8,0,0,5,1,0,193
16,0,9782,5,0,0,0,0,2,0,0,4,1,6,0,0,0,0,0,5,12,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,3,0,3,0,35,0,13,8,4,0,0,1,4,3,0,4,12,0,0,0,5,0,0,0,2,0,0,0,0,0,5,0,13,0,0,3,0,0,1,0,0,0,28,0,0,0,0,0,0,7,0,0,0,3,0,0,1,0,1,4,8,0,1,8,0,0,218
17,0,9756,4,0,0,0,0,2,0,0,1,2,7,0,0,0,0,0,5,12,0,0,0,1,2,0,1,2,0,0,0,1,1,0,0,0,0,1,0,6,0,46,0,15,4,4,1,0,2,4,8,0,3,11,0,0,0,5,0,1,0,2,1,0,1,0,0,1,0,13,0,0,4,0,1,2,0,0,0,37,0,0,0,0,0,0,7,0,0,0,1,0,0,0,1,0,4,8,0,2,7,0,0,244
