"Gen","WT","Res","comp1","comp2","comp3","comp4","comp5","comp6","comp7","comp8","comp9","comp10","comp11","comp12","comp13","comp14","comp15","comp16","comp17","comp18","comp19","comp20","comp21","comp22","comp23","comp24","comp25","comp26","comp27","comp28","comp29","comp30","comp31","comp32","comp33","comp34","comp35","comp36","comp37","comp38","comp39","comp40","comp41","comp42","comp43","comp44","comp45","comp46","comp47","comp48","comp49","comp50","comp51","comp52","comp53","comp54","comp55","comp56","comp57","comp58","comp59","comp60","comp61","comp62","comp63","comp64","comp65","comp66","comp67","comp68","comp69","comp70","comp71","comp72","comp73","comp74","comp75","comp76","comp77","comp78","comp79","comp80","comp81","comp82","comp83","comp84","comp85","comp86","comp87","comp88","comp89","comp90","comp91","comp92","comp93","comp94","comp95","comp96","comp97","comp98","comp99","comp100","CR","sum"
72,9304,0,3,0,3,0,0,5,0,2,9,0,0,32,0,18,0,0,0,36,0,0,0,0,0,16,25,0,0,0,6,0,0,77,52,7,0,0,0,0,0,0,0,20,0,3,0,0,1,0,0,0,16,26,32,0,0,0,22,12,0,0,39,0,0,72,0,3,0,9,0,0,0,0,0,4,0,0,0,11,0,22,22,0,0,0,3,0,1,2,47,0,0,0,5,25,2,0,0,0,6,0,0,696
73,9468,0,1,0,4,0,0,4,0,0,8,0,0,24,0,17,0,0,0,35,0,0,0,0,0,13,15,0,0,0,3,0,0,48,33,6,0,0,0,0,0,0,0,13,0,2,0,0,0,0,0,0,13,32,29,0,0,0,17,8,0,0,27,0,0,49,0,2,0,8,0,0,0,0,0,1,0,0,0,12,0,22,14,0,0,0,3,0,2,1,38,0,0,0,3,18,1,0,0,0,6,0,0,532
74,9547,0,0,0,5,0,0,4,0,0,5,0,0,17,0,21,0,0,0,35,0,0,0,0,0,6,8,0,0,0,2,0,0,37,30,7,0,0,0,0,0,0,0,6,0,4,0,0,0,0,0,0,8,24,29,0,0,0,15,8,0,0,19,0,0,30,0,2,0,11,0,0,0,0,0,1,0,0,0,11,0,23,12,0,0,0,3,0,4,0,44,0,0,0,1,17,1,0,0,0,3,0,0,453
75,9642,0,0,0,6,0,0,7,0,0,5,0,0,12,0,18,0,0,0,24,0,0,0,0,0,2,13,0,0,0,2,0,0,27,22,3,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,8,25,26,0,0,0,9,3,0,0,25,0,0,8,0,0,0,7,0,0,0,0,0,0,0,0,0,7,0,18,10,0,0,0,3,0,7,0,40,0,0,0,0,15,0,0,0,0,4,0,0,358
76,9705,0,0,0,2,0,0,10,0,0,4,0,0,11,0,13,0,0,0,24,0,0,0,0,0,0,9,0,0,0,4,0,0,34,25,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,7,14,29,0,0,0,8,0,0,0,20,0,0,4,0,0,0,4,0,0,0,0,0,0,0,0,0,2,0,14,8,0,0,0,1,0,5,0,35,0,0,0,0,6,0,0,0,0,1,0,0,295
77,9758,0,0,0,1,0,0,6,0,0,3,0,0,3,0,13,0,0,0,14,0,0,0,0,0,0,9,0,0,0,0,0,0,25,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,12,31,0,0,0,5,0,0,0,29,0,0,2,0,0,0,5,0,0,0,0,0,0,0,0,0,1,0,10,8,0,0,0,0,0,7,0,36,0,0,0,0,4,0,0,0,0,2,0,0,242
78,9789,0,0,0,0,0,0,5,0,0,6,0,0,3,0,11,0,0,0,9,0,0,0,0,0,0,4,0,0,0,0,0,0,25,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,11,23,0,0,0,1,0,0,0,24,0,0,3,0,0,0,7,0,0,0,0,0,0,0,0,0,1,0,10,6,0,0,0,0,0,7,0,37,0,0,0,0,3,0,0,0,0,1,0,0,211
79,9839,0,0,0,0,0,0,0,0,0,5,0,0,1,0,9,0,0,0,6,0,0,0,0,0,0,2,0,0,0,0,0,0,16,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,4,22,0,0,0,0,0,0,0,17,0,0,3,0,0,0,7,0,0,0,0,0,0,0,0,0,1,0,13,2,0,0,0,0,0,3,0,32,0,0,0,0,3,0,0,0,0,1,0,0,161
80,9874,0,0,0,0,0,0,0,0,0,5,0,0,0,0,6,0,0,0,5,0,0,0,0,0,0,1,0,0,0,0,0,0,12,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,2,17,0,0,0,0,0,0,0,11,0,0,2,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,11,2,0,0,0,0,0,4,0,24,0,0,0,0,2,0,0,0,0,1,0,0,126
81,9923,0,0,0,0,0,0,0,0,0,4,0,0,0,0,2,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,6,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,18,0,0,0,0,0,0,0,5,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0,0,0,0,4,0,7,0,0,0,0,1,0,0,0,0,0,0,0,77
