"X","j1","j2","j3","j4","j5","j6","j7","j8","j9","j10"
"WT",0,0,0,0,0,0,0,0,0,0
"Res",0,0,0,0,0,0,0,0,0,0
"CR",0,0,0,0,0,0,0,0,0,0
"comp1",1,1,10,10,10,10,10,10,10,10
"comp2",9,9,0,0,0,0,0,0,0,0
"comp3",0,0,0,0,0,0,0,0,0,0
"comp4",0,0,0,0,0,0,0,0,0,0
"comp5",0,0,0,0,0,0,0,0,0,0
"comp6",0,0,0,0,0,0,0,0,0,0
"comp7",0,0,0,0,0,0,0,0,0,0
"comp8",0,0,0,0,0,0,0,0,0,0
"comp9",0,0,0,0,0,0,0,0,0,0
"comp10",0,0,0,0,0,0,0,0,0,0
