"Gen","WT","Res","comp1","comp2","comp3","comp4","comp5","comp6","comp7","comp8","comp9","comp10","comp11","comp12","comp13","comp14","comp15","comp16","comp17","comp18","comp19","comp20","comp21","comp22","comp23","comp24","comp25","comp26","comp27","comp28","comp29","comp30","comp31","comp32","comp33","comp34","comp35","comp36","comp37","comp38","comp39","comp40","comp41","comp42","comp43","comp44","comp45","comp46","comp47","comp48","comp49","comp50","comp51","comp52","comp53","comp54","comp55","comp56","comp57","comp58","comp59","comp60","comp61","comp62","comp63","comp64","comp65","comp66","comp67","comp68","comp69","comp70","comp71","comp72","comp73","comp74","comp75","comp76","comp77","comp78","comp79","comp80","comp81","comp82","comp83","comp84","comp85","comp86","comp87","comp88","comp89","comp90","comp91","comp92","comp93","comp94","comp95","comp96","comp97","comp98","comp99","comp100","CR","sum"
1,0,10000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,1,9911,0,1,2,2,2,0,2,0,1,2,0,1,0,1,0,0,0,1,0,1,1,1,0,0,0,0,1,1,2,1,1,1,1,1,0,1,0,1,2,0,1,0,0,1,0,0,0,1,0,2,2,0,0,1,1,2,0,1,2,0,0,3,3,1,1,1,2,0,2,1,2,0,2,0,0,2,4,2,1,1,0,1,0,0,0,0,1,0,3,0,1,1,2,1,2,0,1,1,1,0,0,88
3,4,9783,0,1,4,1,5,0,5,1,1,2,2,1,1,1,2,3,0,6,0,2,6,2,1,0,0,0,3,4,2,4,3,2,2,2,0,0,1,2,5,1,0,0,1,6,2,2,1,3,2,2,5,1,2,1,0,4,0,3,4,0,0,4,6,3,3,1,2,1,2,5,2,2,4,0,0,2,6,2,1,0,1,1,0,2,4,0,3,0,5,2,1,4,7,3,7,2,1,1,3,3,0,213
4,4,9633,1,1,4,2,5,0,9,1,2,3,3,2,1,1,4,2,3,11,0,5,12,0,7,1,0,2,6,3,6,2,7,5,6,2,2,2,2,4,10,4,2,1,3,11,1,6,2,2,2,3,1,0,6,1,2,5,1,5,10,3,0,6,4,6,5,3,6,0,4,4,2,4,7,1,1,1,11,4,3,0,1,4,1,9,7,1,3,2,7,3,1,5,10,1,10,7,2,3,3,1,0,363
5,10,9431,2,1,8,3,3,1,12,2,3,7,4,4,4,3,4,1,10,21,0,8,18,1,10,4,1,2,9,6,8,2,6,10,7,4,3,5,3,5,17,4,4,2,7,15,1,5,6,3,2,6,2,0,11,5,4,9,4,6,16,9,0,5,2,13,8,5,10,5,9,6,3,9,11,1,2,3,20,3,3,1,1,2,1,12,8,1,9,1,10,1,3,4,8,1,12,11,2,4,5,1,0,559
6,15,9166,6,2,11,1,5,2,15,5,2,4,6,6,8,6,7,5,13,20,0,10,23,4,10,8,2,2,8,10,8,3,11,17,11,4,5,8,2,7,22,6,3,3,11,27,5,6,8,3,6,13,3,3,16,9,7,12,9,13,21,8,2,5,1,12,12,6,9,6,10,7,7,10,23,3,3,5,33,5,7,1,2,5,1,11,14,5,24,3,18,2,3,5,8,2,19,18,2,10,7,2,0,819
7,34,8794,11,2,10,3,9,3,17,5,2,9,7,11,11,6,6,8,22,23,1,14,31,6,12,9,3,3,9,18,10,5,16,16,16,4,9,14,3,7,24,9,7,4,15,33,6,5,11,5,8,16,6,5,19,17,7,13,13,17,24,16,4,13,1,13,14,7,18,7,10,14,11,18,50,2,5,11,50,9,11,1,6,10,0,14,20,10,42,6,28,8,6,10,10,2,27,28,3,14,7,1,0,1172
8,48,8370,11,5,11,6,16,6,20,5,1,15,10,11,14,15,3,9,32,24,2,16,34,12,12,7,10,4,14,18,12,4,22,19,22,7,12,12,4,12,32,15,5,10,23,41,6,7,18,10,5,17,9,10,25,25,5,15,17,20,29,15,7,21,2,22,21,18,30,8,11,16,12,30,73,2,4,16,72,14,16,1,9,13,1,27,33,16,46,10,37,14,3,9,12,6,42,47,2,23,8,0,0,1582
9,78,7890,11,7,12,9,21,5,35,6,3,20,16,12,19,22,6,14,40,27,2,18,41,18,19,7,14,7,15,26,18,6,17,24,28,9,14,13,6,12,35,14,5,13,26,67,10,10,27,18,6,15,13,12,30,38,7,21,27,27,41,21,11,27,6,19,24,26,26,11,14,21,18,33,88,3,4,10,99,17,16,3,19,14,2,35,51,25,56,15,52,16,4,14,16,7,43,68,3,26,8,0,0,2032
10,145,7240,14,7,22,18,28,4,49,7,3,27,14,10,16,25,11,16,57,35,0,25,54,20,31,9,11,3,19,35,24,15,25,37,34,9,14,17,12,21,43,22,5,17,24,75,17,19,30,24,8,22,18,14,48,49,13,23,30,37,59,32,16,41,8,22,31,30,22,14,24,25,22,43,114,6,6,14,138,18,30,4,19,21,2,44,58,31,63,19,66,19,5,17,26,8,55,88,4,26,8,1,0,2615
