"Gen","WT","Res","comp1","comp2","comp3","comp4","comp5","comp6","comp7","comp8","comp9","comp10","comp11","comp12","comp13","comp14","comp15","comp16","comp17","comp18","comp19","comp20","comp21","comp22","comp23","comp24","comp25","comp26","comp27","comp28","comp29","comp30","comp31","comp32","comp33","comp34","comp35","comp36","comp37","comp38","comp39","comp40","comp41","comp42","comp43","comp44","comp45","comp46","comp47","comp48","comp49","comp50","comp51","comp52","comp53","comp54","comp55","comp56","comp57","comp58","comp59","comp60","comp61","comp62","comp63","comp64","comp65","comp66","comp67","comp68","comp69","comp70","comp71","comp72","comp73","comp74","comp75","comp76","comp77","comp78","comp79","comp80","comp81","comp82","comp83","comp84","comp85","comp86","comp87","comp88","comp89","comp90","comp91","comp92","comp93","comp94","comp95","comp96","comp97","comp98","comp99","comp100","CR","sum"
1,0,10000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0,9899,0,0,0,0,2,0,1,0,1,0,1,1,2,2,0,0,1,2,2,1,0,4,0,0,1,1,2,3,1,0,1,2,1,3,0,1,2,2,0,1,0,3,0,1,0,0,0,0,1,1,1,1,1,2,1,1,0,1,1,0,0,2,1,0,0,1,1,3,0,2,0,2,2,0,1,1,1,0,0,2,2,2,0,3,2,1,0,0,5,2,0,5,0,1,0,0,0,0,1,2,0,101
3,0,9795,1,2,2,1,0,1,1,0,1,1,0,0,1,4,2,2,2,3,4,1,1,9,1,3,2,1,7,3,0,1,2,1,3,5,1,0,2,2,3,1,0,0,0,3,0,0,1,0,3,2,0,3,4,7,1,1,1,3,3,1,2,4,2,0,2,3,2,8,0,0,0,6,5,2,2,0,2,1,0,1,4,7,1,5,3,5,2,0,5,5,3,7,0,3,0,0,0,1,2,0,0,205
4,1,9644,1,2,5,2,1,3,4,2,3,4,1,0,3,4,5,5,2,11,2,1,1,17,2,4,7,6,6,4,0,4,3,2,2,3,6,2,2,3,4,0,1,1,3,9,2,0,5,2,1,3,0,2,1,7,6,3,1,8,3,3,3,5,6,0,4,5,5,9,0,0,1,5,12,1,1,2,7,2,2,2,8,11,2,6,4,6,4,0,7,7,6,7,2,6,0,1,0,2,3,1,0,355
5,8,9525,3,4,4,2,5,2,6,2,4,5,4,0,1,9,7,7,3,11,5,2,1,14,5,5,4,8,3,7,0,6,6,2,3,5,5,0,4,7,6,1,1,2,7,11,2,1,2,3,3,3,0,2,2,10,9,6,0,7,4,2,3,5,9,1,4,4,12,11,1,0,2,6,7,1,2,1,2,6,3,1,11,16,4,7,2,11,8,1,10,8,7,12,2,11,1,5,2,3,6,4,0,467
6,13,9355,2,6,4,2,4,3,6,1,7,7,6,0,2,12,7,10,0,13,6,1,2,24,4,3,4,7,1,11,1,12,9,3,11,7,5,0,5,6,11,3,5,3,7,14,6,0,3,2,5,3,0,4,5,16,12,3,2,6,7,1,2,4,7,1,1,10,11,9,2,0,3,6,9,5,6,1,3,11,3,2,7,27,5,14,8,17,10,3,14,5,11,17,2,22,1,12,5,4,8,12,0,632
7,15,9182,4,11,6,2,5,6,7,0,12,8,7,1,3,16,10,12,3,14,3,1,1,39,8,4,6,9,1,14,3,14,18,2,14,9,4,0,8,8,13,6,4,3,8,12,5,0,7,1,12,6,0,2,7,31,11,2,4,8,10,2,3,5,6,1,3,11,21,9,2,2,2,9,3,9,11,2,2,12,5,1,5,37,10,21,11,20,12,2,17,6,10,16,4,25,1,14,3,3,6,14,0,803
8,24,8934,4,17,1,5,9,7,6,0,15,10,9,1,7,20,13,17,5,21,3,1,4,50,8,5,6,13,3,12,3,23,19,2,18,22,4,1,11,12,20,8,8,7,6,13,6,1,12,1,12,5,2,2,8,34,14,2,4,5,16,8,8,8,3,4,4,17,25,16,7,3,1,13,3,11,16,1,3,14,8,2,4,52,12,19,16,16,19,3,19,10,9,27,5,32,5,13,2,6,11,14,0,1042
9,38,8709,5,19,2,7,6,9,10,2,20,15,16,1,7,20,19,21,4,21,3,1,5,72,10,3,6,16,5,22,5,27,22,2,29,19,8,1,17,10,20,11,8,4,7,22,9,1,10,1,10,7,2,5,8,54,18,2,7,11,21,10,7,12,6,5,8,17,34,13,8,2,3,14,4,9,24,3,1,19,10,3,3,60,8,22,23,19,17,6,17,7,14,29,9,34,4,10,2,9,17,6,0,1253
10,38,8491,6,22,3,11,5,7,19,2,24,19,17,2,6,23,21,19,7,26,6,0,5,92,4,5,12,25,6,23,7,29,28,5,30,17,4,3,24,12,20,16,7,7,5,26,12,0,16,2,13,5,4,4,9,52,15,2,7,13,31,10,12,18,11,9,13,23,35,12,11,1,3,19,9,12,22,1,2,35,15,4,6,63,16,33,25,13,12,13,19,12,21,27,6,35,6,12,0,13,14,6,0,1471
11,46,8266,3,22,2,17,6,6,18,2,27,22,21,2,6,34,26,15,9,29,6,1,6,106,6,5,14,35,7,29,11,30,30,6,35,17,8,4,34,16,14,18,11,9,9,42,11,0,22,7,20,5,1,4,6,51,15,2,5,7,37,17,19,20,10,6,16,35,31,9,9,1,4,27,9,13,29,1,5,28,14,5,12,71,10,34,20,16,15,18,24,12,26,32,7,53,9,15,0,10,18,9,0,1688
12,50,8054,3,28,0,14,6,6,20,8,27,22,18,2,7,26,27,14,4,26,10,1,7,120,4,8,11,43,9,36,9,33,45,11,36,20,9,5,40,17,21,17,12,11,9,43,13,3,38,9,24,4,0,5,3,66,15,3,6,6,42,18,24,22,18,5,20,41,30,8,13,4,2,35,9,14,44,0,4,30,11,6,9,88,13,34,19,13,17,14,27,14,24,42,11,61,11,14,0,10,27,7,1,1895
13,65,7805,6,32,1,10,2,4,26,12,34,32,21,1,9,36,41,10,6,29,9,0,7,124,4,6,12,49,11,35,8,33,54,12,35,17,11,8,38,18,27,15,11,14,13,53,19,6,43,7,37,5,2,2,4,80,25,10,8,11,34,25,26,25,18,8,21,57,24,9,16,5,1,36,7,18,43,0,4,37,10,7,10,90,12,35,24,10,21,17,30,5,37,41,14,73,13,18,0,12,30,9,3,2127
14,74,7545,4,23,1,8,2,3,25,10,43,44,30,1,12,46,44,11,9,35,9,0,10,113,5,5,8,45,19,47,8,34,54,14,41,24,9,5,39,21,31,15,8,14,11,59,23,9,49,10,49,8,5,6,4,89,28,16,9,16,44,29,38,31,16,7,19,69,22,13,14,7,2,49,7,14,58,0,10,38,6,5,16,94,14,45,21,11,19,19,40,10,35,57,14,66,18,19,2,15,30,11,7,2374
15,87,7229,3,16,1,6,5,5,28,13,54,51,43,4,16,61,72,11,26,33,10,0,13,114,6,5,9,49,19,47,11,42,45,17,45,23,13,6,47,30,29,20,13,19,15,70,36,14,59,9,51,9,6,6,1,96,32,17,13,18,44,36,27,28,22,6,24,70,23,15,22,5,2,46,6,15,56,1,8,47,10,7,18,108,20,42,24,12,21,26,55,8,39,60,11,67,18,29,1,21,33,6,13,2671
16,118,6886,5,12,4,6,11,4,33,10,61,65,46,3,15,57,86,14,26,36,7,2,13,139,7,3,13,56,18,54,12,48,48,23,59,24,11,10,66,38,31,25,11,22,16,79,38,19,60,9,58,15,6,6,3,99,32,17,8,26,44,40,40,29,22,5,44,80,29,18,24,4,4,53,4,21,65,4,6,52,12,5,19,122,25,45,21,5,10,28,66,11,46,58,3,78,22,31,1,21,34,5,15,2981
17,138,6513,8,12,0,5,13,4,35,12,71,71,71,6,24,70,98,16,30,34,6,5,16,140,10,1,15,61,19,77,6,51,50,24,73,23,13,10,79,36,39,27,15,16,23,94,41,21,54,14,72,13,6,4,7,118,32,12,8,23,47,49,45,30,24,7,47,84,26,19,24,6,6,55,10,23,74,6,6,54,9,6,23,136,25,37,20,3,15,36,70,13,64,60,5,104,21,37,0,18,39,10,22,3327
18,162,6210,7,8,0,4,11,5,42,14,73,92,85,6,34,86,104,23,28,37,6,6,16,137,8,0,21,66,29,78,11,53,63,27,67,30,18,10,81,32,51,30,15,16,27,106,45,14,66,11,80,15,4,3,5,128,39,15,14,11,44,52,43,30,21,4,55,102,29,21,27,10,8,50,13,23,80,4,8,64,13,5,24,134,23,42,25,4,12,36,84,10,71,67,6,107,17,46,0,21,46,12,22,3606
19,173,5828,4,8,2,5,17,6,51,5,86,82,87,9,39,107,125,18,35,37,10,12,13,159,12,0,21,79,30,91,14,56,69,29,65,40,20,16,96,47,40,39,26,15,23,111,45,17,72,14,92,14,6,5,8,121,38,18,12,12,45,55,34,39,24,5,67,82,31,20,31,14,8,56,17,27,84,7,9,74,22,7,33,148,26,38,35,6,21,34,86,8,77,87,9,125,21,53,0,22,50,6,26,3973
20,207,5443,3,11,2,6,15,8,56,7,81,69,89,11,34,116,134,16,45,43,12,19,11,189,10,1,16,97,25,103,20,56,84,38,72,38,23,16,122,48,46,38,34,17,23,117,40,13,80,15,103,15,8,2,9,141,35,20,14,18,55,55,31,41,32,11,72,88,33,21,31,20,9,65,17,32,91,11,13,85,26,10,40,140,29,50,48,4,36,30,92,9,76,99,8,118,21,51,0,30,51,4,31,4319
21,248,5130,4,14,4,3,9,3,55,11,85,84,99,17,42,121,118,20,56,47,14,22,9,188,11,1,17,100,33,91,23,75,108,27,70,40,20,14,119,45,35,40,37,20,23,129,44,12,80,13,92,16,6,1,15,143,44,16,11,14,61,62,40,42,42,18,98,102,36,17,28,13,7,65,24,27,96,17,12,81,27,11,36,152,30,59,52,5,36,34,107,12,77,102,9,136,31,60,0,37,56,5,50,4572
22,279,4779,4,12,5,7,9,4,49,11,93,90,100,15,47,134,124,24,54,47,11,24,5,189,14,2,15,130,42,89,30,94,113,24,82,40,23,25,139,46,43,53,43,25,16,121,40,8,85,11,91,15,4,3,13,169,61,22,10,20,60,82,47,53,38,20,114,106,35,15,31,11,5,67,21,33,97,18,19,92,34,14,45,156,30,45,44,5,35,42,123,12,70,117,5,128,40,54,0,44,56,4,56,4886
23,350,4446,1,20,3,2,13,2,47,14,89,96,99,11,45,141,132,28,59,58,10,28,3,207,21,2,16,112,46,104,37,102,117,24,98,37,25,23,133,48,38,49,44,20,19,132,46,8,86,14,92,18,8,4,11,169,73,25,11,24,59,70,45,71,32,20,119,103,40,15,41,7,3,64,31,33,102,18,24,111,36,17,45,172,39,50,46,4,29,41,116,10,88,114,8,155,45,56,0,46,61,3,71,5133
24,391,4071,1,22,5,5,18,1,47,15,87,92,99,12,41,151,134,28,67,65,12,35,2,213,31,1,23,113,49,118,39,78,124,25,110,42,36,25,147,47,41,45,59,15,25,125,44,8,101,10,99,15,11,6,17,204,70,23,13,23,67,75,35,85,38,23,106,113,35,10,45,9,3,72,26,29,93,24,30,121,41,14,45,207,33,66,54,4,33,39,146,15,82,115,8,181,38,61,1,47,63,8,84,5454
25,439,3812,1,28,4,2,29,3,51,13,94,102,103,7,39,160,152,30,88,84,15,33,5,242,25,2,23,114,58,115,44,58,126,29,122,41,32,28,146,40,44,53,59,17,26,118,40,9,92,11,91,12,10,8,15,212,85,23,14,33,58,87,42,93,42,30,120,135,32,7,46,10,2,75,26,36,88,22,34,127,41,15,43,216,18,67,55,3,31,41,139,17,76,119,4,183,36,56,2,44,60,5,106,5643
