"Gen","WT","Res","comp1","comp2","comp3","comp4","comp5","comp6","comp7","comp8","comp9","comp10","comp11","comp12","comp13","comp14","comp15","comp16","comp17","comp18","comp19","comp20","comp21","comp22","comp23","comp24","comp25","comp26","comp27","comp28","comp29","comp30","comp31","comp32","comp33","comp34","comp35","comp36","comp37","comp38","comp39","comp40","comp41","comp42","comp43","comp44","comp45","comp46","comp47","comp48","comp49","comp50","comp51","comp52","comp53","comp54","comp55","comp56","comp57","comp58","comp59","comp60","comp61","comp62","comp63","comp64","comp65","comp66","comp67","comp68","comp69","comp70","comp71","comp72","comp73","comp74","comp75","comp76","comp77","comp78","comp79","comp80","comp81","comp82","comp83","comp84","comp85","comp86","comp87","comp88","comp89","comp90","comp91","comp92","comp93","comp94","comp95","comp96","comp97","comp98","comp99","comp100","CR","sum"
65,4170,2984,6,13,48,77,42,102,8,1,22,19,0,7,6,33,21,15,32,5,62,62,33,28,25,4,0,57,9,30,29,33,35,46,6,20,42,18,4,32,39,59,28,68,0,32,19,13,8,6,7,49,27,23,29,31,1,35,68,57,40,34,99,10,2,5,10,15,42,8,29,57,77,15,26,61,56,21,17,50,40,11,14,40,17,23,3,22,28,14,8,27,3,45,4,74,4,7,24,27,3,0,103,2743
66,4441,2851,4,10,49,68,39,96,7,0,15,11,1,13,7,37,22,14,36,6,69,47,29,28,26,3,1,54,10,30,27,35,29,44,7,22,31,15,5,32,36,61,35,61,0,19,13,14,8,9,4,45,30,20,26,45,0,33,69,62,36,26,73,6,4,3,9,9,42,9,23,48,68,17,28,69,56,18,6,51,47,9,14,43,20,20,7,22,33,15,4,26,2,49,1,62,2,5,29,24,3,0,101,2607
67,4644,2732,1,12,60,59,35,93,7,0,9,11,3,10,4,29,23,11,38,8,68,54,34,29,21,4,0,58,10,31,30,39,25,42,9,22,21,13,3,33,36,48,41,64,0,12,10,12,9,5,2,46,32,14,34,31,0,28,71,51,31,26,77,6,1,2,8,4,38,9,29,43,59,16,29,78,58,13,10,40,44,13,11,51,19,15,6,25,34,10,6,35,2,45,1,65,0,6,23,20,1,0,110,2514
68,4798,2566,1,16,57,68,35,108,6,0,3,10,3,9,2,32,30,8,39,7,64,60,38,34,25,11,0,61,11,32,38,33,22,39,5,16,20,9,0,33,36,42,48,67,0,10,7,9,5,6,3,48,30,12,33,27,0,26,63,52,29,32,65,4,3,2,10,5,27,6,25,34,61,13,36,83,58,14,11,35,40,11,11,56,19,14,7,19,41,11,6,41,3,47,0,73,0,5,26,18,0,1,125,2511
69,5071,2386,0,15,60,74,39,111,4,0,2,15,5,8,3,27,27,2,44,2,67,71,41,34,28,16,0,53,5,28,31,31,20,30,6,15,19,14,0,27,41,47,35,63,0,12,7,10,4,5,1,51,32,13,29,25,0,19,72,47,34,31,74,3,2,2,16,3,23,6,27,33,59,14,25,76,52,11,8,32,27,16,7,57,13,9,6,20,39,6,2,27,0,46,0,87,0,9,27,13,0,0,114,2429
70,5382,2183,0,14,65,63,29,106,4,0,2,8,9,9,2,21,17,3,46,3,67,75,40,30,43,15,0,53,0,21,27,31,15,33,10,15,18,9,0,28,37,34,38,58,0,14,7,17,4,6,1,48,26,16,31,18,3,22,70,46,32,42,75,1,0,0,17,3,18,3,30,38,46,13,18,78,54,6,7,32,26,18,5,44,13,13,6,16,37,9,0,33,2,38,0,82,0,5,22,12,0,0,114,2321
71,5621,2032,0,13,58,57,23,87,3,0,1,9,6,8,2,25,18,5,47,2,71,67,40,27,41,9,0,45,0,18,24,32,22,27,12,17,20,17,0,27,37,30,29,50,0,20,7,14,4,11,1,29,28,15,39,24,5,26,69,54,24,38,78,0,0,0,12,5,15,4,23,31,36,11,15,79,56,8,8,31,19,15,3,43,13,18,10,13,41,7,0,29,2,49,0,83,1,4,23,10,0,1,117,2230
72,5868,1895,0,10,63,44,15,92,1,0,0,6,7,5,1,25,16,3,48,1,66,63,44,31,45,5,0,32,0,14,23,35,15,19,10,15,14,14,1,31,29,31,29,52,0,24,12,12,6,13,1,20,30,10,38,31,0,22,75,64,22,39,72,0,1,0,7,5,10,8,22,25,32,15,12,64,54,7,7,22,15,8,4,48,14,17,9,13,46,9,0,27,3,51,0,75,2,2,23,4,0,0,130,2107
73,6165,1746,1,4,48,37,14,96,5,2,0,1,3,2,0,27,12,3,38,2,54,60,31,23,33,6,0,29,0,20,27,30,23,18,13,15,19,14,2,37,32,26,21,44,0,17,11,14,8,21,2,20,30,13,39,22,0,12,53,71,17,48,64,0,1,1,8,7,7,5,22,20,23,11,11,65,46,9,3,25,16,8,4,42,23,12,6,14,41,4,0,24,5,50,0,63,3,1,27,2,0,1,145,1944
74,6392,1609,2,6,32,36,15,84,5,4,0,0,1,2,0,26,9,4,25,4,52,58,25,33,36,5,1,22,0,23,26,23,28,14,5,13,14,13,4,34,31,19,18,42,0,18,7,8,10,25,3,21,28,19,34,28,0,8,60,65,19,44,67,0,2,2,10,6,8,7,12,22,23,10,8,65,49,14,0,18,16,7,5,45,17,11,3,15,40,4,0,32,4,33,0,51,5,1,31,2,0,0,163,1836
