"Gen","WT","Res","comp1","comp2","comp3","comp4","comp5","comp6","comp7","comp8","comp9","comp10","comp11","comp12","comp13","comp14","comp15","comp16","comp17","comp18","comp19","comp20","comp21","comp22","comp23","comp24","comp25","comp26","comp27","comp28","comp29","comp30","comp31","comp32","comp33","comp34","comp35","comp36","comp37","comp38","comp39","comp40","comp41","comp42","comp43","comp44","comp45","comp46","comp47","comp48","comp49","comp50","comp51","comp52","comp53","comp54","comp55","comp56","comp57","comp58","comp59","comp60","comp61","comp62","comp63","comp64","comp65","comp66","comp67","comp68","comp69","comp70","comp71","comp72","comp73","comp74","comp75","comp76","comp77","comp78","comp79","comp80","comp81","comp82","comp83","comp84","comp85","comp86","comp87","comp88","comp89","comp90","comp91","comp92","comp93","comp94","comp95","comp96","comp97","comp98","comp99","comp100","CR","sum"
1,0,10000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0,9910,0,0,0,1,0,0,2,0,1,2,0,0,1,0,1,1,2,1,4,1,0,0,0,2,0,0,1,1,0,2,4,3,0,0,2,0,1,1,0,3,0,1,2,0,1,1,2,1,1,0,0,0,1,0,0,2,1,2,0,0,3,1,1,2,1,1,0,0,0,1,1,1,0,1,0,2,1,0,0,2,1,1,0,3,3,1,0,1,1,1,0,1,0,2,2,1,0,0,2,0,0,90
3,1,9792,0,1,2,2,0,2,6,1,0,3,0,2,1,2,1,0,0,4,2,3,0,2,2,3,1,0,3,5,1,2,5,4,0,2,4,0,2,2,1,6,1,2,4,2,1,3,6,1,3,0,1,2,3,2,2,3,0,4,0,0,6,3,3,5,3,3,2,0,0,4,5,1,1,3,0,2,0,0,1,3,4,2,0,4,5,2,0,1,2,3,0,3,3,7,2,0,0,1,5,1,0,207
4,5,9628,1,3,3,6,1,8,12,1,3,5,0,2,1,3,5,0,1,10,7,7,3,1,2,3,0,1,6,4,2,2,10,10,0,4,4,2,2,5,5,8,1,3,4,4,1,8,11,2,5,0,1,3,8,3,1,6,2,12,2,0,12,4,6,5,4,3,2,0,1,4,7,4,1,4,1,1,3,2,1,6,7,2,0,5,4,1,0,2,3,3,1,8,4,10,2,2,2,2,7,1,0,367
5,7,9393,3,4,5,12,2,6,21,0,6,14,0,6,3,5,5,1,3,9,12,12,4,3,6,5,0,1,13,6,3,4,13,8,0,6,8,5,5,10,6,17,3,2,7,2,3,15,13,5,7,0,4,6,14,6,1,13,3,14,2,1,19,11,10,6,7,6,4,1,3,7,13,5,4,10,3,4,5,1,2,10,8,4,3,6,7,0,2,2,8,4,1,9,8,14,2,1,4,2,8,3,0,600
6,18,9065,5,4,7,22,4,9,31,1,11,13,2,10,3,12,4,4,4,10,20,18,7,5,14,8,2,4,17,7,3,5,16,14,1,7,12,6,10,15,5,25,1,3,14,6,6,28,23,8,8,1,7,17,20,9,2,28,8,14,3,3,25,16,16,10,3,10,5,2,6,8,19,5,7,17,6,5,9,3,8,12,10,5,4,5,13,0,4,4,13,4,2,8,19,16,4,1,2,4,14,6,1,916
7,24,8747,4,5,8,31,5,4,38,2,15,14,2,14,3,22,10,5,6,17,30,28,9,8,17,14,5,3,22,8,5,8,22,18,2,9,19,13,16,14,5,34,2,6,13,11,12,41,35,8,7,1,8,25,24,17,2,28,5,15,2,5,39,23,20,16,10,14,4,5,7,13,30,5,14,20,8,7,9,5,7,23,11,4,8,5,18,0,7,10,16,7,3,8,22,14,2,2,4,8,11,7,2,1227
8,39,8307,8,4,10,38,7,6,52,4,15,23,7,11,1,28,12,7,7,28,36,40,13,9,32,16,13,2,23,12,14,4,36,19,2,16,19,22,23,20,7,50,2,9,21,12,13,54,46,11,5,4,9,31,37,19,3,29,12,21,5,9,57,27,24,22,13,12,8,4,8,29,34,4,16,16,12,6,12,8,17,39,14,10,10,6,23,1,8,15,20,8,4,9,40,16,7,2,8,11,13,10,3,1651
9,80,7762,9,6,19,59,13,7,71,4,12,23,7,7,1,25,19,14,11,39,44,48,11,14,36,25,23,1,26,10,26,7,54,31,6,26,25,29,31,28,9,73,1,12,25,13,11,76,66,9,4,4,6,38,55,22,9,34,15,28,6,12,66,36,23,28,19,22,12,5,6,38,37,5,21,20,11,12,14,15,22,46,22,9,20,4,31,1,14,14,29,12,6,8,51,20,15,3,14,18,18,15,1,2157
10,145,7126,12,12,24,81,11,7,87,10,10,23,9,7,0,29,22,17,13,61,44,60,24,16,59,15,23,4,43,7,28,6,85,41,11,31,22,38,42,31,13,100,5,13,27,28,14,92,87,9,4,7,11,50,54,28,8,44,22,44,6,21,67,44,32,35,21,21,14,7,10,48,42,10,35,25,10,23,25,20,27,48,25,9,26,5,33,2,28,13,35,18,11,10,63,20,21,3,27,27,19,17,1,2728
11,231,6432,18,16,22,90,13,6,103,8,12,30,13,12,0,42,27,12,16,77,39,64,23,21,63,27,23,11,47,16,29,9,106,40,8,32,28,49,56,34,13,142,6,13,30,35,24,123,110,15,7,3,17,58,77,27,11,51,29,55,13,23,79,52,35,48,24,31,18,7,11,65,46,14,38,30,12,19,36,32,37,60,22,14,28,6,37,2,36,23,34,23,18,9,65,32,31,3,28,42,37,28,1,3336
12,323,5595,26,20,37,101,19,9,98,13,14,35,15,22,1,49,39,11,12,98,48,74,28,21,77,36,23,12,58,20,31,15,127,46,12,41,41,57,83,43,14,164,4,13,33,51,24,146,150,17,6,2,29,69,109,28,14,67,42,58,15,37,92,58,38,47,29,39,24,7,21,101,65,21,51,37,16,24,31,40,52,84,22,14,25,6,53,7,54,32,36,31,22,8,70,31,33,6,34,48,42,27,0,4082
13,433,4833,36,29,27,122,26,6,125,13,16,40,21,19,0,49,51,13,10,128,57,77,34,29,80,47,30,21,75,31,52,24,165,48,16,41,47,60,86,51,12,200,11,15,29,62,26,147,168,13,4,5,31,64,128,39,20,77,58,61,11,34,102,74,47,46,38,46,27,5,34,138,64,20,65,36,18,28,36,46,55,101,28,11,35,9,55,5,50,33,59,34,28,8,72,34,33,7,37,60,55,38,0,4734
14,589,4042,35,37,31,133,32,11,143,16,18,37,16,21,1,46,72,18,11,150,74,90,39,35,93,66,33,21,80,26,60,29,187,46,10,44,62,76,90,49,15,225,16,17,31,64,27,197,207,11,2,10,41,69,145,40,21,78,66,59,18,41,109,90,58,52,44,47,39,3,38,167,58,27,66,33,22,33,49,52,48,117,32,11,30,13,65,9,52,37,60,42,33,14,73,35,31,6,56,68,78,34,0,5369
15,830,3258,43,42,27,137,45,5,128,21,18,47,18,27,0,41,86,17,12,138,88,88,37,34,97,75,32,25,82,27,68,34,172,47,12,45,87,75,101,53,25,242,14,14,34,74,51,234,244,8,2,15,34,64,184,38,31,102,73,69,23,54,124,96,63,62,55,58,43,4,42,178,57,22,65,55,23,28,59,61,44,138,34,8,33,20,71,9,62,52,58,38,47,18,79,38,31,3,53,79,93,49,0,5912
16,1095,2609,38,36,34,149,37,8,137,25,24,40,21,34,0,48,108,16,13,147,115,106,42,41,113,75,43,33,79,23,71,42,166,49,11,43,96,80,123,70,30,276,9,21,35,82,47,245,249,12,4,15,33,58,210,51,26,100,65,75,28,64,120,111,64,61,70,70,37,1,40,176,54,18,51,75,28,26,72,50,55,147,24,3,29,16,67,9,72,61,65,42,53,19,79,47,27,5,52,85,101,43,0,6296
17,1416,2021,49,27,39,165,45,7,129,31,16,42,27,35,0,45,101,13,10,152,117,113,47,37,114,72,45,36,70,22,85,43,183,58,9,57,97,90,123,82,30,279,6,23,47,85,51,270,270,14,5,15,45,57,199,47,21,107,73,75,21,65,113,114,62,78,68,70,47,0,44,181,62,21,51,82,34,27,73,52,46,166,23,4,29,22,72,8,76,71,67,39,46,24,77,51,25,9,53,71,110,57,0,6563
18,1690,1544,70,29,41,188,37,10,109,31,13,38,34,31,0,45,83,14,9,156,135,114,32,28,124,67,40,36,88,21,83,44,196,70,9,44,111,96,126,75,33,276,2,22,51,93,52,283,278,20,6,17,47,50,196,49,27,94,70,71,29,62,111,131,62,69,74,86,46,0,48,194,70,21,53,75,46,32,76,56,44,160,28,4,34,15,82,8,85,73,73,41,53,23,66,64,21,11,62,78,125,60,1,6765
19,2084,1178,70,37,38,206,40,9,107,26,15,34,30,28,0,40,100,12,6,149,132,116,43,22,120,70,41,43,94,27,86,41,207,81,10,37,107,84,128,74,39,260,3,31,50,101,52,300,274,19,6,15,54,42,201,55,22,90,70,62,30,48,106,136,74,71,70,82,40,0,54,192,66,21,42,77,45,33,71,61,42,149,36,6,26,20,78,8,84,62,73,37,50,26,67,64,20,11,57,61,121,60,5,6733
20,2550,815,74,36,33,213,32,6,104,26,21,33,21,33,0,37,109,11,3,135,155,118,36,29,113,71,40,38,81,18,99,35,190,91,9,36,100,89,125,76,33,279,5,36,42,91,46,296,244,20,4,14,47,45,192,52,24,97,62,62,29,43,122,132,81,83,76,64,49,0,56,161,53,20,47,73,42,38,74,60,39,138,34,6,22,13,86,7,103,86,70,41,46,25,68,71,19,7,58,53,103,65,5,6630
21,3025,594,72,29,35,218,30,6,85,19,17,24,24,38,0,35,111,14,2,109,147,112,28,28,102,78,43,34,78,12,100,30,178,86,11,43,92,72,124,66,34,241,7,51,42,90,52,268,240,23,0,15,49,33,198,40,19,92,59,62,25,43,123,124,86,92,61,65,35,0,61,144,55,19,53,65,52,35,82,72,48,154,27,5,23,10,78,8,92,70,65,34,42,23,63,69,23,4,72,47,100,75,10,6371
22,3575,390,66,25,23,223,18,4,80,28,10,18,24,47,0,36,86,11,0,119,143,112,28,39,78,77,33,35,75,7,80,31,156,78,11,41,102,79,104,53,36,243,12,47,38,79,51,271,238,29,0,14,44,22,183,32,19,80,66,67,25,43,93,113,72,91,53,73,25,0,64,153,39,20,42,52,45,26,78,65,49,143,23,11,22,11,68,6,100,65,66,28,38,19,75,68,20,7,60,44,107,73,9,6026
23,4015,271,69,16,24,204,16,4,102,27,5,19,25,33,0,37,77,8,0,105,127,99,21,47,74,62,35,28,60,6,86,29,144,76,10,30,109,78,121,45,27,225,18,32,27,89,39,281,245,30,0,18,44,28,182,23,21,80,63,56,22,41,85,103,78,105,46,69,22,0,49,156,35,21,43,40,46,35,85,75,40,120,21,6,25,9,66,3,88,68,58,24,36,13,79,57,17,5,57,27,77,74,2,5712
24,4550,170,59,15,18,212,14,1,89,27,5,19,31,31,0,40,72,12,0,80,101,92,14,43,68,60,34,23,51,5,94,23,129,77,14,34,108,80,103,41,26,234,15,51,21,70,27,267,220,19,0,16,43,24,171,26,12,69,53,55,18,34,73,90,72,88,54,66,20,0,44,144,28,18,41,44,34,39,80,78,34,103,16,5,23,11,51,0,104,56,60,19,37,15,73,43,14,6,52,29,66,58,2,5278
25,5069,128,60,15,17,175,11,0,78,16,6,11,27,22,0,27,63,10,0,74,93,78,15,44,62,53,32,25,60,7,80,24,125,70,15,21,105,59,106,41,21,215,13,36,24,77,29,266,200,17,0,19,37,33,127,25,9,49,50,52,16,27,66,67,67,70,48,67,27,0,37,138,19,21,42,31,39,36,85,64,30,110,15,0,18,11,44,0,110,48,50,19,31,13,54,42,9,6,54,22,74,47,3,4800
26,5728,70,60,17,17,149,12,0,71,17,6,11,21,15,0,21,53,7,0,70,86,65,14,35,61,39,40,24,61,6,69,20,125,68,14,27,87,35,91,35,17,192,8,29,13,66,22,228,185,16,0,11,28,24,107,22,8,29,46,43,16,19,61,62,63,65,37,68,33,0,39,112,17,18,42,32,45,31,74,48,14,88,14,0,12,10,33,0,100,49,44,20,20,9,45,35,11,9,38,25,63,34,4,4198
27,6270,57,45,14,23,125,16,0,60,13,9,7,11,12,0,18,40,7,0,53,93,69,6,22,58,37,36,20,58,5,53,14,122,55,13,23,78,28,67,27,12,156,8,20,6,63,22,218,132,16,0,9,20,16,79,24,7,35,31,46,10,20,54,48,51,60,26,74,20,0,34,99,16,20,36,35,54,25,65,43,11,82,17,0,5,11,28,0,95,42,45,15,18,4,55,32,10,3,27,23,70,29,4,3669
28,6774,34,38,10,25,91,12,0,57,7,5,8,8,14,0,21,32,3,0,42,78,55,2,23,45,32,26,18,44,8,52,11,123,62,6,23,69,29,59,16,5,138,6,15,3,67,20,186,117,10,0,6,12,10,74,24,5,32,33,48,10,18,42,41,42,49,20,70,19,0,29,70,13,24,31,23,45,23,59,40,5,66,14,0,3,11,27,0,81,40,39,14,14,1,44,31,13,3,25,27,70,20,11,3181
29,7200,25,31,6,24,83,15,0,42,7,2,8,10,8,0,15,25,3,0,28,59,41,2,20,33,22,27,10,42,10,41,11,105,55,3,15,63,29,59,14,2,129,8,20,6,50,16,166,110,10,0,5,9,13,57,23,5,31,37,35,9,11,42,44,27,37,13,64,18,0,24,49,14,23,27,11,45,21,52,32,5,67,21,0,5,5,24,0,62,42,40,14,9,1,49,26,12,2,22,23,58,15,10,2765
30,7736,15,24,3,25,73,14,0,35,3,3,6,10,5,0,8,24,4,0,24,48,36,0,14,25,19,15,5,34,9,44,7,93,56,3,8,57,17,55,10,3,95,6,15,7,35,11,121,91,9,0,5,6,10,50,16,3,23,40,18,8,6,43,30,16,31,7,69,15,0,21,47,10,21,24,10,39,20,35,24,5,51,13,0,4,1,17,0,47,30,31,12,8,0,33,20,10,1,14,17,54,16,9,2240
31,8156,4,29,2,26,56,10,0,27,2,5,3,7,4,0,10,18,5,0,18,39,35,0,13,22,18,13,3,32,7,33,5,79,38,1,7,52,14,39,11,3,64,4,7,5,30,6,95,80,4,0,7,4,6,44,10,2,17,37,23,6,3,35,20,18,30,3,49,15,0,15,42,6,16,27,10,31,18,28,14,4,45,9,1,4,0,14,0,32,27,20,12,9,0,28,15,7,2,15,10,52,10,7,1833
32,8457,3,24,3,23,36,7,0,15,4,6,3,3,4,0,7,17,4,0,21,25,35,0,12,23,8,8,1,31,3,25,7,65,40,1,6,54,13,24,8,1,56,5,10,2,19,10,72,64,2,0,7,0,6,46,15,1,11,25,19,2,1,29,20,7,25,0,44,18,0,11,42,3,11,20,5,17,19,14,16,2,32,5,1,2,0,19,0,39,23,21,15,3,0,23,12,5,4,16,6,51,10,10,1530
33,8767,0,15,4,23,35,2,0,17,2,4,2,3,3,0,5,12,4,0,18,16,34,0,9,9,7,7,2,33,3,23,4,51,40,1,4,47,17,24,6,1,45,5,4,2,20,11,66,50,2,0,7,0,4,38,6,1,8,18,20,0,1,19,11,6,18,0,31,20,0,12,29,1,12,13,5,7,12,15,9,1,22,5,0,3,0,17,0,19,12,15,11,3,0,20,9,3,4,9,5,36,9,15,1218
34,8995,0,23,2,25,44,1,0,8,4,3,1,1,2,0,5,17,3,0,11,8,23,0,8,10,4,8,3,26,0,18,4,31,33,0,3,33,13,19,4,1,44,4,4,2,19,9,50,46,1,0,2,0,2,23,2,0,8,12,12,0,0,12,5,4,16,0,25,19,0,7,25,0,8,8,5,4,9,16,11,2,21,6,0,2,0,13,0,15,13,9,6,5,0,18,9,4,1,7,5,29,11,16,989
35,9119,0,23,3,20,46,1,0,7,2,1,4,0,2,0,5,15,0,0,11,11,18,0,7,2,2,5,5,14,0,11,1,33,28,0,2,26,17,16,4,1,39,5,7,2,18,9,49,51,1,0,1,0,3,11,1,0,9,12,12,0,0,11,4,5,18,0,22,13,0,9,23,0,6,8,5,3,5,10,7,1,15,3,0,0,0,16,0,9,11,6,6,5,0,13,7,5,1,3,8,21,14,15,866
36,9257,0,20,2,19,41,0,0,13,5,2,2,0,1,0,6,15,0,0,10,10,12,0,9,1,2,4,3,7,0,7,0,26,20,0,0,28,11,12,2,1,24,6,12,2,8,5,32,30,0,0,1,0,1,12,2,0,10,12,7,0,0,14,3,3,15,0,15,8,0,9,11,0,5,4,7,5,6,13,5,2,24,2,0,0,0,14,0,12,7,7,1,4,0,14,5,2,0,4,15,22,11,19,724
37,9371,0,15,0,10,30,0,0,13,5,1,1,0,0,0,7,14,0,0,3,12,10,0,10,1,2,1,4,11,0,3,0,24,20,0,0,22,8,14,1,1,21,8,13,1,6,1,28,18,0,0,1,0,1,9,1,0,7,12,9,0,0,14,3,2,19,0,11,3,0,7,5,0,4,1,8,2,7,12,6,1,28,0,0,0,0,11,0,11,8,7,1,2,0,13,6,0,0,5,6,16,9,22,607
38,9476,0,14,0,8,30,0,0,18,4,0,0,0,0,0,4,11,0,0,3,11,7,0,5,1,0,0,3,14,0,1,0,21,17,0,0,12,3,7,0,0,21,8,8,0,5,0,19,16,0,0,0,0,1,6,2,0,6,9,5,0,0,13,6,1,11,0,8,3,0,9,6,0,5,0,9,2,5,18,4,1,30,0,0,0,0,7,0,5,5,6,1,2,0,11,6,0,0,6,7,11,3,23,501
