"Gen","WT","Res","comp1","comp2","comp3","comp4","comp5","comp6","comp7","comp8","comp9","comp10","comp11","comp12","comp13","comp14","comp15","comp16","comp17","comp18","comp19","comp20","comp21","comp22","comp23","comp24","comp25","comp26","comp27","comp28","comp29","comp30","comp31","comp32","comp33","comp34","comp35","comp36","comp37","comp38","comp39","comp40","comp41","comp42","comp43","comp44","comp45","comp46","comp47","comp48","comp49","comp50","comp51","comp52","comp53","comp54","comp55","comp56","comp57","comp58","comp59","comp60","comp61","comp62","comp63","comp64","comp65","comp66","comp67","comp68","comp69","comp70","comp71","comp72","comp73","comp74","comp75","comp76","comp77","comp78","comp79","comp80","comp81","comp82","comp83","comp84","comp85","comp86","comp87","comp88","comp89","comp90","comp91","comp92","comp93","comp94","comp95","comp96","comp97","comp98","comp99","comp100","CR","sum"
1,0,10000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,1,9904,1,1,1,1,3,0,0,0,1,0,0,3,1,1,2,0,1,2,0,0,1,0,1,1,1,0,2,1,1,2,1,1,2,1,2,1,0,1,3,1,1,1,0,0,3,2,0,1,1,2,0,1,0,0,0,0,2,2,2,1,1,1,0,1,0,1,2,0,1,1,0,0,0,2,3,2,1,0,2,1,1,0,1,1,1,1,0,3,1,1,0,1,1,0,1,1,0,0,1,1,0,95
3,4,9762,0,5,1,2,8,2,2,1,5,1,0,4,4,3,5,1,4,4,0,0,1,1,1,1,2,1,5,1,6,1,4,4,2,5,3,3,1,1,7,1,1,0,1,2,2,4,0,3,6,2,1,3,2,0,1,4,4,6,5,2,1,1,0,5,1,5,2,1,1,2,2,2,0,2,11,0,1,3,2,1,1,3,2,1,1,3,1,6,1,3,0,3,4,1,2,3,0,0,0,4,0,234
4,9,9548,2,11,2,4,12,7,3,1,6,2,1,8,9,3,6,1,6,7,2,1,2,1,6,1,2,2,10,3,9,2,7,5,2,4,5,3,3,3,9,6,4,0,5,3,4,10,0,9,10,6,2,6,5,0,4,4,7,12,10,2,3,1,0,6,4,8,4,2,3,6,8,3,0,3,16,1,2,9,7,0,3,3,7,1,2,5,5,10,3,5,0,2,7,1,1,7,1,0,1,11,0,443
5,8,9275,5,12,5,6,17,6,6,1,8,4,0,11,17,2,9,2,11,7,3,2,3,1,1,0,5,4,11,7,26,3,8,10,2,9,6,5,3,6,11,12,7,2,6,5,9,13,1,8,18,10,7,8,8,3,12,11,12,19,21,2,3,2,4,8,10,10,11,3,3,17,12,4,2,3,22,2,4,11,9,1,5,6,9,1,6,11,10,15,4,4,1,5,13,1,2,9,6,2,3,14,0,717
6,19,8978,4,17,7,4,25,9,8,2,16,9,2,14,23,4,13,4,13,12,5,6,5,4,3,2,6,5,10,5,33,3,19,9,6,17,6,7,6,9,16,13,16,1,10,5,11,14,2,16,21,5,8,15,12,4,18,15,12,34,26,4,1,5,5,9,14,15,16,3,3,18,22,8,3,4,30,2,8,8,19,0,10,11,9,4,6,17,10,25,7,6,3,6,14,4,1,14,11,4,1,16,1,1002
7,36,8567,7,32,10,5,32,9,12,2,14,18,3,19,32,8,19,4,17,18,9,9,11,6,2,2,10,6,7,5,48,3,26,12,7,25,13,8,7,13,15,26,22,2,18,4,11,21,7,23,34,9,12,15,8,7,21,22,22,47,27,5,1,9,7,6,20,29,29,6,5,17,28,10,4,6,33,5,11,12,27,2,12,25,13,1,6,21,12,39,13,7,4,5,21,8,2,19,17,10,3,22,2,1395
8,57,8053,8,43,18,5,42,17,26,2,12,38,5,27,52,8,22,5,24,30,12,17,28,12,1,5,16,15,8,7,63,3,40,13,12,23,20,9,21,15,22,30,29,7,21,6,16,29,7,26,32,11,16,22,13,11,16,22,31,62,39,3,1,11,9,7,26,34,43,8,6,27,30,14,11,8,43,5,9,16,32,2,18,26,14,2,6,32,13,45,16,10,9,8,23,13,6,22,26,18,5,38,3,1887
9,96,7534,11,57,18,5,61,20,35,2,24,29,11,29,65,15,27,8,37,53,18,10,30,19,0,4,17,16,13,11,93,3,51,21,22,30,25,9,21,15,34,41,36,8,26,7,22,40,13,33,37,13,14,32,19,9,21,22,37,82,50,5,5,18,6,11,33,41,52,7,10,31,27,17,12,8,55,10,12,26,31,3,11,38,14,3,15,35,17,52,14,19,11,11,27,13,7,26,28,20,11,44,3,2367
10,159,6835,15,71,26,8,79,25,38,1,28,41,19,47,81,16,29,13,45,74,27,10,51,26,1,4,17,25,14,22,122,1,57,20,30,29,35,16,34,18,37,46,47,9,37,8,14,50,16,30,47,20,13,43,19,17,32,30,37,116,71,8,5,23,4,10,42,56,65,10,19,31,36,26,12,7,68,11,7,36,37,3,11,48,15,6,13,43,35,60,12,23,17,13,24,16,16,36,38,36,15,56,3,3003
11,255,6033,21,70,34,12,115,24,59,2,24,43,36,75,95,23,32,18,55,96,44,14,65,39,1,4,25,34,15,21,148,1,78,19,35,32,49,24,36,19,38,52,74,15,47,5,19,60,13,34,65,18,10,47,19,19,45,42,47,145,101,11,5,33,6,11,55,56,62,4,27,41,37,26,13,10,80,16,10,57,43,2,17,50,20,11,18,62,45,84,12,29,11,19,29,16,20,44,44,38,18,63,5,3707
12,380,5320,26,79,36,17,133,43,67,1,30,37,38,81,106,24,36,12,64,98,44,18,96,43,1,7,35,41,27,25,164,0,80,26,32,42,56,26,45,24,41,64,77,9,54,9,18,80,10,55,58,14,11,48,19,20,54,41,42,189,127,11,4,34,7,9,68,55,78,0,43,57,54,36,17,6,94,24,16,55,46,3,21,56,19,13,23,81,47,109,17,41,17,23,28,18,32,39,59,47,17,72,4,4296
13,542,4518,31,91,50,20,152,41,78,4,27,46,55,90,111,23,44,15,77,109,54,35,88,46,0,11,50,53,37,23,184,0,82,29,34,52,71,41,41,32,48,83,87,10,59,9,17,78,9,55,80,12,16,54,27,25,50,40,48,222,150,9,12,30,5,5,74,64,100,0,59,59,57,36,15,4,123,28,21,64,60,5,27,54,20,16,27,93,57,127,23,48,21,41,25,29,35,30,79,50,21,76,5,4935
14,789,3732,40,105,53,18,185,40,88,7,23,53,59,88,147,25,51,12,83,124,64,42,98,59,0,14,43,58,39,27,209,1,80,31,33,49,67,39,43,29,58,83,97,21,63,10,13,89,13,38,89,13,24,67,25,39,66,46,54,238,161,10,18,28,3,9,81,67,95,0,79,47,68,38,19,3,154,30,16,72,70,7,35,80,16,16,23,124,65,117,16,63,23,47,35,45,41,39,83,44,22,91,7,5472
15,1068,3035,45,120,60,19,193,39,93,13,23,57,49,87,162,26,70,10,78,129,81,56,102,66,0,14,42,66,33,31,234,3,87,38,36,57,82,49,54,29,57,92,83,20,67,11,14,98,11,33,96,14,28,66,31,39,67,54,71,246,154,6,16,33,3,9,101,89,88,0,79,55,82,43,18,3,160,37,15,73,84,2,49,83,11,15,23,143,71,133,14,80,14,44,34,55,37,35,86,52,19,112,6,5891
16,1363,2382,52,140,54,27,220,26,92,15,11,62,55,95,163,21,69,10,96,135,88,75,132,73,0,18,49,84,27,38,251,4,97,36,40,68,93,51,64,28,55,91,97,22,68,11,17,106,3,34,86,14,37,62,21,36,76,68,71,258,169,5,17,42,1,9,93,101,108,0,70,61,93,47,22,6,158,55,18,66,88,1,41,88,16,15,23,131,76,143,14,83,20,39,32,52,38,34,89,48,20,123,8,6247
17,1686,1873,49,140,53,33,223,26,91,21,10,60,47,109,168,25,55,11,100,153,93,83,136,87,0,25,45,92,26,36,269,6,98,39,42,67,84,47,67,36,49,95,109,20,58,10,23,125,1,31,93,13,39,74,19,38,72,72,72,282,174,6,13,44,2,6,92,104,105,0,73,66,98,44,26,7,152,48,19,62,82,0,45,83,16,23,25,150,77,141,17,76,20,40,43,57,31,27,100,43,23,121,13,6428
18,2093,1435,57,129,45,35,219,17,93,16,10,56,50,135,204,28,49,17,110,155,79,84,126,62,0,31,51,95,29,45,296,5,99,33,40,66,77,49,73,39,46,86,109,15,61,8,28,109,2,39,95,9,43,82,14,35,78,63,62,292,174,4,20,43,0,7,90,93,111,0,75,67,124,42,21,10,140,49,18,59,86,0,40,101,20,23,17,153,71,137,11,89,27,28,31,55,21,25,113,39,19,118,21,6451
19,2505,1060,58,139,39,38,222,21,103,16,7,52,62,116,202,27,50,15,104,128,91,69,138,52,0,50,43,101,25,38,320,2,90,34,44,75,93,41,80,30,47,81,111,16,64,7,24,118,1,37,98,12,34,68,17,30,79,43,58,292,166,2,19,38,0,8,95,90,112,0,87,61,116,41,15,16,131,47,14,52,78,2,38,93,15,28,15,151,89,127,9,87,36,26,30,49,21,27,127,34,32,129,30,6405
20,2956,745,56,149,35,35,201,20,111,15,6,50,59,102,182,13,57,14,108,107,90,74,128,59,0,55,54,87,25,40,306,3,90,37,44,85,71,45,79,31,53,82,105,15,70,6,29,125,1,34,92,16,29,71,12,33,79,47,58,306,151,2,20,38,1,7,85,87,109,0,72,56,131,34,12,12,108,42,12,48,81,2,51,97,24,26,16,150,99,101,4,92,39,21,29,47,19,20,146,33,34,118,37,6262
