"Gen","WT","Res","comp1","comp2","comp3","comp4","comp5","comp6","comp7","comp8","comp9","comp10","comp11","comp12","comp13","comp14","comp15","comp16","comp17","comp18","comp19","comp20","comp21","comp22","comp23","comp24","comp25","comp26","comp27","comp28","comp29","comp30","comp31","comp32","comp33","comp34","comp35","comp36","comp37","comp38","comp39","comp40","comp41","comp42","comp43","comp44","comp45","comp46","comp47","comp48","comp49","comp50","comp51","comp52","comp53","comp54","comp55","comp56","comp57","comp58","comp59","comp60","comp61","comp62","comp63","comp64","comp65","comp66","comp67","comp68","comp69","comp70","comp71","comp72","comp73","comp74","comp75","comp76","comp77","comp78","comp79","comp80","comp81","comp82","comp83","comp84","comp85","comp86","comp87","comp88","comp89","comp90","comp91","comp92","comp93","comp94","comp95","comp96","comp97","comp98","comp99","comp100","CR","sum"
452,0,756,260,0,0,0,161,68,125,172,0,0,0,0,0,0,0,0,0,0,0,279,36,0,0,0,231,129,0,0,669,0,0,335,589,0,0,0,75,65,0,793,0,2,160,0,0,0,0,0,51,0,0,0,0,0,0,347,0,0,0,0,1,0,23,0,497,34,0,0,0,0,26,0,1124,0,0,0,356,0,0,0,0,0,0,0,0,62,22,117,3,95,0,0,88,402,0,1341,170,177,99,60,0,9244
453,0,783,254,0,0,0,148,55,123,148,0,0,0,0,0,1,0,0,0,0,0,287,41,0,0,0,224,113,0,0,696,0,0,356,543,0,0,0,66,63,0,810,0,2,162,0,0,0,0,0,45,0,0,0,0,0,0,316,0,0,0,0,5,0,18,0,496,39,0,0,0,0,28,0,1185,0,0,0,337,0,0,0,0,0,0,0,0,70,14,113,2,110,0,0,89,410,0,1314,165,191,114,64,0,9217
454,0,746,236,0,0,0,166,62,109,151,0,0,0,0,0,1,0,0,0,0,0,288,49,0,0,0,208,103,0,0,732,0,0,361,539,0,0,0,54,70,0,852,0,2,167,0,0,0,0,0,43,0,0,0,0,0,0,313,0,0,0,0,5,0,15,0,488,35,0,0,0,0,37,0,1146,0,0,0,330,0,0,0,0,0,0,0,0,83,10,119,4,98,0,0,104,386,0,1342,159,182,133,72,0,9254
455,0,709,219,0,0,0,170,66,120,150,0,0,0,0,0,5,0,0,0,0,0,287,44,0,0,0,219,108,0,0,676,0,0,386,544,0,0,0,45,51,0,838,0,4,180,0,0,0,0,0,46,0,0,0,0,0,0,319,0,0,0,0,7,0,12,0,498,42,0,0,0,0,35,0,1146,0,0,0,326,0,0,0,0,0,0,0,0,92,11,116,5,96,0,0,123,376,0,1370,160,191,143,65,0,9291
456,0,687,224,0,0,0,175,67,125,152,0,0,0,0,0,6,0,0,0,0,0,291,48,0,0,0,210,91,0,0,674,0,0,392,555,0,0,0,55,54,0,797,0,7,170,0,0,0,0,0,47,0,0,0,0,0,0,302,0,0,0,0,4,0,15,0,485,54,0,0,0,0,34,0,1265,0,0,0,318,0,0,0,0,0,0,0,0,96,12,122,3,97,0,0,121,353,0,1373,143,180,122,74,0,9313
457,0,652,219,0,0,0,184,73,127,169,0,0,0,0,0,4,0,0,0,0,0,293,40,0,0,0,200,78,0,0,645,0,0,393,558,0,0,0,69,45,0,818,0,11,140,0,0,0,0,0,47,0,0,0,0,0,0,284,0,0,0,0,3,0,8,0,483,56,0,0,0,0,28,0,1305,0,0,0,338,0,0,0,0,0,0,0,0,105,12,135,5,113,0,0,113,345,0,1372,143,182,127,78,0,9348
458,0,618,236,0,0,0,187,76,144,140,0,0,0,0,0,1,0,0,0,0,0,302,53,0,0,0,229,81,0,0,639,0,0,418,577,0,0,0,73,41,0,763,0,12,124,0,0,0,0,0,52,0,0,0,0,0,0,275,0,0,0,0,2,0,11,0,490,52,0,0,0,0,27,0,1287,0,0,0,358,0,0,0,0,0,0,0,0,106,12,133,4,133,0,0,112,341,0,1364,146,171,134,76,0,9382
459,0,613,240,0,1,0,175,91,167,127,0,0,0,0,0,0,0,0,0,0,0,294,42,0,0,0,222,75,0,0,650,0,0,414,557,0,0,0,60,42,0,810,0,8,121,0,0,0,0,0,48,0,0,0,0,0,0,262,0,0,0,0,1,0,13,0,487,55,0,0,0,0,21,0,1299,0,0,0,338,0,0,0,0,0,0,0,0,121,13,122,1,114,0,0,126,379,0,1358,143,160,148,82,0,9387
460,0,598,247,0,0,0,160,92,168,119,0,0,0,0,0,0,0,0,0,0,0,302,46,0,0,0,226,84,0,0,659,0,0,368,607,0,0,0,68,42,0,819,0,7,102,0,0,0,0,0,37,0,0,0,0,0,0,283,0,0,0,0,1,0,10,0,490,60,0,0,0,0,16,0,1340,0,0,0,325,0,0,0,0,0,0,0,0,127,9,128,2,106,0,0,120,363,0,1383,129,139,142,76,0,9402
461,0,555,267,0,0,0,179,72,162,115,0,0,0,0,0,0,0,0,0,0,0,316,41,0,0,0,241,99,0,0,676,0,0,358,619,0,0,0,67,44,0,802,0,6,113,0,0,0,0,0,42,0,0,0,0,0,0,284,0,0,0,0,0,0,6,0,526,57,0,0,0,0,15,0,1304,0,0,0,303,0,0,0,0,0,0,0,0,108,13,113,1,100,0,0,133,375,0,1383,125,145,148,85,2,9443
